held_out_subject,n_train,n_test,n_selected_features,corr,top_k,cold_total_time_seconds,cold_train_time_seconds,warm_total_time_seconds,warm_cache_load_time_seconds,feature_selection_time_seconds,cache_write_time_seconds,cache_size_mb,time_saved_seconds,speedup_cold_vs_warm,mb_per_second_saved,accuracy_cold,accuracy_warm,predictions_match,subject_count,tree_count
Subject_3,1827,997,149,,,0.33225178718566895,0.18460774421691895,0.12740111351013184,0.07293462753295898,0.0013468265533447266,0.09430456161499023,2.280959129333496,0.2048506736755371,2.6079190207332523,11.134740679185201,0.728184553660983,0.728184553660983,True,3,200
Subject_1,1910,914,149,,,0.647590160369873,0.3473317623138428,0.17759132385253906,0.07962608337402344,0.0015177726745605469,0.20356130599975586,5.124361991882324,0.469998836517334,3.646519133488707,10.902924845205087,0.7352297592997812,0.7352297592997812,True,3,400
Subject_2,1911,913,149,,,0.6345064640045166,0.34767580032348633,0.16593289375305176,0.07026529312133789,0.0005044937133789062,0.17896580696105957,4.269183158874512,0.46857357025146484,3.823873914648988,9.111019976187327,0.7415115005476451,0.7415115005476451,True,3,400
Subject_3,1827,997,149,,,0.6469426155090332,0.3442368507385254,0.16997790336608887,0.07364344596862793,0.0009999275207519531,0.1975843906402588,4.574418067932129,0.47696471214294434,3.8060395068862833,9.590684491898417,0.7311935807422267,0.7311935807422267,True,3,400
Subject_1,28571,914,30,,30.0,0.45783209800720215,0.21901631355285645,0.13978147506713867,0.04651165008544922,0.05810070037841797,0.14738869667053223,4.448032379150391,0.3180506229400635,3.275341727416312,13.985296862596055,0.7724288840262582,0.7724288840262582,True,30,25
Subject_10,28492,993,30,,30.0,0.45984315872192383,0.22713780403137207,0.1313624382019043,0.04532122611999512,0.05576467514038086,0.1441974639892578,4.345207214355469,0.32848072052001953,3.500568084882408,13.228195577130215,0.7502517623363545,0.7502517623363545,True,30,25
Subject_11,28501,984,30,,30.0,0.4603114128112793,0.22128009796142578,0.1383962631225586,0.04764199256896973,0.05802655220031738,0.14794445037841797,4.492044448852539,0.3219151496887207,3.326039319455068,13.954125654527815,0.7957317073170732,0.7957317073170732,True,30,25
Subject_1,28571,914,30,,30.0,0.7259693145751953,0.3424570560455322,0.18698787689208984,0.09766268730163574,0.05760550498962402,0.2916288375854492,8.907800674438477,0.5389814376831055,3.8824405444966366,16.527101031029986,0.7691466083150985,0.7691466083150985,True,30,50
Subject_10,28492,993,30,,30.0,0.7682497501373291,0.3651003837585449,0.19419550895690918,0.0962064266204834,0.06197643280029297,0.30528926849365234,8.671558380126953,0.5740542411804199,3.956063424246331,15.105817112849381,0.7603222557905337,0.7603222557905337,True,30,50
Subject_11,28501,984,30,,30.0,0.7930495738983154,0.38367295265197754,0.20143985748291016,0.1031181812286377,0.05705142021179199,0.31775927543640137,8.97246265411377,0.5916097164154053,3.9369049591667653,15.166185417775756,0.7947154471544715,0.7947154471544715,True,30,50
Subject_1,28571,914,30,,30.0,1.3777477741241455,0.6320772171020508,0.30817747116088867,0.20173883438110352,0.057828426361083984,0.6333658695220947,17.80814552307129,1.0695703029632568,4.470631058572324,16.649812989135558,0.7735229759299781,0.7735229759299781,True,30,100
Subject_10,28492,993,30,,30.0,1.3263564109802246,0.5874814987182617,0.30624866485595703,0.1945207118988037,0.05673670768737793,0.6209025382995605,17.343512535095215,1.0201077461242676,4.330978590891397,17.001647719066003,0.7653575025176234,0.7653575025176234,True,30,100
Subject_11,28501,984,30,,30.0,1.345841407775879,0.5995767116546631,0.306337833404541,0.2135152816772461,0.05461764335632324,0.6347534656524658,17.90770149230957,1.039503574371338,4.39332417030775,17.227166826376365,0.7936991869918699,0.7936991869918699,True,30,100
Subject_1,28571,914,30,,30.0,2.5752575397491455,1.0919513702392578,0.5619375705718994,0.43094730377197266,0.05921196937561035,1.3019955158233643,35.624632835388184,2.013319969177246,4.582817869124207,17.69447151013278,0.7680525164113785,0.7680525164113785,True,30,200
Subject_10,28492,993,30,,30.0,2.475005865097046,1.082108736038208,0.5421044826507568,0.4126858711242676,0.05932426452636719,1.2551662921905518,34.66665077209473,1.932901382446289,4.565551373039528,17.935033358101514,0.7633434038267876,0.7633434038267876,True,30,200
Subject_11,28501,984,30,,30.0,2.478809356689453,1.1058094501495361,0.5846965312957764,0.4478006362915039,0.06031441688537598,1.2475190162658691,35.792181968688965,1.8941128253936768,4.239480181618377,18.896541688982985,0.7876016260162602,0.7876016260162602,True,30,200
Subject_1,28571,914,30,,30.0,4.864623308181763,2.1321544647216797,1.1031460762023926,0.9243121147155762,0.05689358711242676,2.5586047172546387,71.2149429321289,3.76147723197937,4.4097725705813575,18.932706099261452,0.7691466083150985,0.7691466083150985,True,30,400
Subject_10,28492,993,30,,30.0,4.768871545791626,2.0994532108306885,1.0456650257110596,0.8756344318389893,0.05187344551086426,2.5007164478302,69.28616142272949,3.7232065200805664,4.5606111216627525,18.60927161817234,0.7583081570996979,0.7583081570996979,True,30,400
Subject_11,28501,984,30,,30.0,4.845510482788086,2.125185489654541,1.0947721004486084,0.9139184951782227,0.05826544761657715,2.555802345275879,71.52684879302979,3.7507383823394775,4.426044909988595,19.070071410423402,0.7997967479674797,0.7997967479674797,True,30,400
Subject_1,28571,914,50,,50.0,0.5590879917144775,0.30882906913757324,0.14109587669372559,0.041017770767211914,0.06110334396362305,0.15640926361083984,3.973465919494629,0.41799211502075195,3.962468676020068,9.506078647673435,0.7407002188183808,0.7407002188183808,True,30,25
Subject_10,28492,993,50,,50.0,0.5274002552032471,0.28664660453796387,0.1374797821044922,0.04248976707458496,0.05979776382446289,0.14946436882019043,3.9037342071533203,0.3899204730987549,3.836202291929688,10.011616410212511,0.7754279959718026,0.7754279959718026,True,30,25
